event_number,clip_name,start,end
150,rooks_chi_was_coby_wire.mov,00:08:37;24,00:08:38;24
151,rooks_chi_was_coby_wire.mov,00:08:38;24,00:08:43;00
152,rooks_chi_was_coby_wire.mov,00:08:43;00,00:08:48;22
153,rooks_chi_was_coby_wire.mov,00:08:48;22,00:08:49;14
154,rooks_chi_was_coby_wire.mov,00:08:49;14,00:08:55;00
155,rooks_chi_was_coby_wire.mov,00:08:55;00,00:08:57;18
156,rooks_chi_was_coby_wire.mov,00:08:57;18,00:08:59;16
157,rooks_chi_was_coby_wire.mov,00:08:59;16,00:09:01;13
158,rooks_chi_was_coby_wire.mov,00:09:01;13,00:09:04;16
159,rooks_chi_was_coby_wire.mov,00:09:04;16,00:09:06;19
160,rooks_chi_was_coby_wire.mov,00:09:06;19,00:09:09;12
161,rooks_chi_was_coby_wire.mov,00:09:09;12,00:09:16;21
162,MVI_8998.MP4,00:09:16;21,00:09:25;04
163,rooks_arena_nyc_msg.mov,00:09:25;04,00:09:26;19
164,rooks_more_rj_phantom.mov,00:09:26;19,00:09:31;05
165,rooks_rjbarrett_sitdown.mov,00:09:31;05,00:09:32;02
166,rooks_200302_nyk_hou_rj.mov,00:09:32;02,00:09:35;25
167,phantom_selects_hou_vs_nyk_030220_broll.mov,00:09:35;25,00:09:37;11
168,phantom_selects_hou_vs_nyk_030220_broll.mov,00:09:37;11,00:09:39;00
169,rooks_1221_mil_nyk_rj_phantom.mov,00:09:39;00,00:09:41;17
170,phantom_selects_hou_vs_nyk_030220_broll.mov,00:09:41;17,00:09:43;00
171,phantom_selects_hou_vs_nyk_030220_broll.mov,00:09:43;00,00:09:45;08
172,phantom_selects_hou_vs_nyk_030220_broll.mov,00:09:45;08,00:09:49;04
173,DELTA PORTLAND clean.mp4,00:09:49;04,00:09:56;19
174,DELTA PORTLAND clean.mp4,00:09:56;19,00:09:57;24
175,DELTA PORTLAND clean.mp4,00:09:57;24,00:10:01;28
176,DELTA PORTLAND clean.mp4,00:10:01;28,00:10:03;28
177,rooks_barrett_updated_plays.mov,00:10:03;28,00:10:04;27
178,rooks_barrett_updated_plays.mov,00:10:04;27,00:10:06;02
179,DELTA PORTLAND clean.mp4,00:10:06;02,00:10:12;28
180,DELTA PORTLAND clean.mp4,00:10:12;28,00:10:14;17
181,DELTA PORTLAND clean.mp4,00:10:14;17,00:10:26;15
182,rooks_barrett_updated_plays.mov,00:10:26;15,00:10:28;24
183,rooks_barrett_updated_plays.mov,00:10:28;24,00:10:29;06
184,rooks_barrett_updated_plays.mov,00:10:29;06,00:10:31;07
185,rooks_barrett_updated_plays.mov,00:10:31;07,00:10:33;29
186,DELTA PORTLAND clean.mp4,00:10:33;29,00:10:36;16
187,DELTA PORTLAND clean.mp4,00:10:36;16,00:10:37;27
188,DELTA PORTLAND clean.mp4,00:10:37;27,00:10:38;25
189,DELTA PORTLAND clean.mp4,00:10:38;25,00:10:39;02
190,DELTA PORTLAND clean.mp4,00:10:39;02,00:10:41;27
191,DELTA PORTLAND clean.mp4,00:10:41;27,00:10:43;26
192,DELTA PORTLAND clean.mp4,00:10:43;26,00:10:47;19
193,DELTA PORTLAND clean.mp4,00:10:47;19,00:10:53;26
194,rooks_hof_2018_steve_nash_split_clean.mov,00:10:53;26,00:10:55;19
195,rooks_hof_2018_steve_nash_split_clean.mov,00:10:55;19,00:10:57;29
196,rooks_hof_2018_steve_nash_split_clean.mov,00:10:57;29,00:10:58;17
197,rooks_hof_2018_steve_nash_split_clean.mov,00:10:58;17,00:11:01;01
198,rooks_hof_2018_steve_nash_split_clean.mov,00:11:01;01,00:11:03;05
199,rooks_hof_2018_steve_nash_split_clean.mov,00:11:03;05,00:11:06;02
200,DELTA PORTLAND clean.mp4,00:11:06;02,00:11:07;15
201,rooks_rj_nash_all_star.mov,00:11:07;15,00:11:12;08
202,DELTA PORTLAND clean.mp4,00:11:12;08,00:11:15;22
203,DELTA PORTLAND clean.mp4,00:11:15;22,00:11:16;29
204,DELTA PORTLAND clean.mp4,00:11:16;29,00:11:17;23
205,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:11:17;23,00:11:18;17
206,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:11:18;17,00:11:19;28
207,phantom_selects_lal_vs_nop_030120_broll_pt1.mov,00:11:19;28,00:11:21;12
208,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:11:21;12,00:11:23;08
209,phantom_selects_lal_vs_nop_030120_broll_pt1.mov,00:11:23;08,00:11:25;27
210,phantom_selects_lal_vs_nop_030120_broll_pt1.mov,00:11:25;27,00:11:26;29
211,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:11:26;29,00:11:27;26
212,phantom_selects_lal_vs_nop_030120_broll_pt1.mov,00:11:27;26,00:11:34;07
213,phantom_selects_lal_vs_nop_030120_broll_pt1.mov,00:11:34;07,00:11:36;14
214,2-25 RAW SOT LeBron James Postgame vs Pelicans.mov,00:11:36;14,00:11:38;28
215,phantom_selects_lal_vs_nop_030120_broll_pt2.mov,00:11:38;28,00:11:42;13
216,phantom_selects_lal_vs_nop_030120_broll_pt1.mov,00:11:42;13,00:11:47;06
217,phantom_selects_lal_vs_nop_030120_broll_pt2.mov,00:11:47;06,00:11:49;00
218,rooks_lal_vs_nop_wireless.mov,00:11:49;00,00:11:51;21
219,phantom_selects_lal_vs_nop_030120_broll_pt1.mov,00:11:51;21,00:11:54;14
220,phantom_selects_lal_vs_nop_030120_broll_pt2.mov,00:11:54;14,00:11:59;26
221,phantom_selects_lal_vs_nop_030120_broll_pt1.mov,00:11:59;26,00:12:00;29
222,phantom_selects_lal_vs_nop_030120_broll_pt2.mov,00:12:00;29,00:12:10;06
223,phantom_selects_lal_vs_nop_030120_broll_pt2.mov,00:12:10;06,00:12:20;05
224,rooks_200225_nop_lal_zion.mov,00:12:20;05,00:12:23;17
225,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:12:23;17,00:12:34;28
226,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:12:34;28,00:12:36;01
227,phantom_selects_lal_vs_mem_022920_broll_pt2.mov,00:12:36;01,00:12:45;09
228,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:12:45;09,00:12:47;17
229,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:12:47;17,00:12:51;01
230,phantom_selects_lal_vs_mem_022920_broll_pt2.mov,00:12:51;01,00:12:52;16
231,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:12:52;16,00:12:53;13
232,phantom_selects_lal_vs_mem_022920_broll_pt2.mov,00:12:53;13,00:12:57;22
233,phantom_selects_lal_vs_mem_022920_broll_pt2.mov,00:12:57;22,00:13:02;08
234,rooks_200301_nop_lal_lebron.mov,00:13:02;08,00:13:04;09
235,phantom_selects_lal_vs_mem_022920_broll_pt2.mov,00:13:04;09,00:13:09;00
236,ROOKS EPISODE 8 SPLIT CLEAN.mov,00:13:09;00,00:13:16;01
237,EPISODE 4 SPLIT CLEAN.mov,00:13:16;01,00:13:21;05
