event_number,clip_name,start,end
101,RJ_4_CBB_ACC_Tournament_Duke_v_North_Carolina_TRUCK_MELT_3_15_2019_HD_EVS_Archive___StLewisJ___22_13_54_00___22_14_31_00.mxf,00:07:06;22,00:07:11;26
102,A039C001_120101_A4XZ.mov,00:07:11;26,00:07:15;03
103,A001C002_190810_R505.mov,00:07:15;03,00:07:22;06
104,Duke_UNC_Clean_CBB_ACC_Tournament_Duke_v_North_Carolina_TRUCK_MELT_3_15_2019_HD_EVS_Archive___StLewisJ___22_35_46_00___22_43_29_00.mxf,00:07:22;06,00:07:29;16
105,Duke_UNC_Clean_CBB_ACC_Tournament_Duke_v_North_Carolina_TRUCK_MELT_3_15_2019_HD_EVS_Archive___StLewisJ___22_35_46_00___22_43_29_00.mxf,00:07:29;16,00:07:32;07
106,Duke_UNC_Clean_CBB_ACC_Tournament_Duke_v_North_Carolina_TRUCK_MELT_3_15_2019_HD_EVS_Archive___StLewisJ___22_35_46_00___22_43_29_00.mxf,00:07:32;07,00:07:35;00
107,A001C003_190810_R505.mov,00:07:35;00,00:07:39;01
108,MVI_6584.MP4,00:07:39;01,00:07:46;29
109,A039C002_120101_A4XZ.mov,00:07:46;29,00:07:52;13
110,A001C003_190810_R505.mov,00:07:52;13,00:07:57;07
111,MVI_6584.MP4,00:07:57;07,00:08:06;27
112,phantom_selects_chi_all_access_practice_101419_.mov,00:08:06;27,00:08:07;21
113,phantom_selects_chi_all_access_practice_101419_.mov,00:08:07;21,00:08:09;08
114,phantom_selects_chi_all_access_practice_101419_.mov,00:08:09;08,00:08:11;00
115,rooks_BOS_NYK_phantom_broll_pt2_102619.mov,00:08:11;00,00:08:19;02
116,phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:08:19;02,00:08:24;20
117,A001C002_190810_R505.mov,00:08:24;20,00:08:33;06
118,rooks_msg_scenics_103119.mov,00:08:33;06,00:08:35;13
119,rooks_msg_scenics_103119.mov,00:08:35;13,00:08:38;17
120,00001.MTS,00:08:38;17,00:08:40;03
121,MVI_1511.MP4,00:08:40;03,00:08:46;06
122,MVI_1513.MP4,00:08:46;06,00:08:52;16
123,MVI_1515.MP4,00:08:52;16,00:09:11;19
124,rooks_msg_scenics_103119.mov,00:09:11;19,00:09:13;24
125,MVI_1520.MP4,00:09:13;24,00:09:16;28
126,MVI_1525.MP4,00:09:16;28,00:09:25;01
127,MVI_1527.MP4,00:09:25;01,00:09:30;26
128,MVI_1530.MP4,00:09:30;26,00:09:39;04
129,MVI_1562.MP4,00:09:39;04,00:09:41;04
130,00028.MTS,00:09:41;04,00:09:46;14
131,MVI_1578.MP4,00:09:46;14,00:09:50;22
132,phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:09:50;22,00:09:58;04
133,phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:09:58;04,00:10:11;25
134,phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:10:11;25,00:10:14;07
135,phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:10:14;07,00:10:19;10
136,phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:10:19;10,00:10:28;07
137,phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:10:28;07,00:10:36;05
138,rooks_CHI_NYK_rj_102919.mov,00:10:36;05,00:10:38;00
139,rooks_CHI_NYK_rj_102919.mov,00:10:38;00,00:10:42;17
140,MVI_1615.MP4,00:10:42;17,00:10:44;27
141,phantom_selects_CHI_NYK_broll_pt4_102919.mov,00:10:44;27,00:10:58;02
142,MVI_1623.MP4,00:10:58;02,00:11:04;16
143,00030.MTS,00:11:04;16,00:11:09;26
144,MVI_1637.MP4,00:11:09;26,00:11:14;18
145,MVI_1637.MP4,00:11:14;18,00:11:21;03
146,MVI_1637.MP4,00:11:21;03,00:11:22;16
147,MVI_1640.MP4,00:11:22;16,00:11:27;22
148,REVISED END PAGE with special thanks 1011.mpeg,00:11:27;22,00:11:38;28
