event_number,clip_name,start,end
001,ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:00;00,00:00:04;01
002,rooks_obama_at_allstar.mov,00:00:04;01,00:00:11;14
003,rooks_obama_at_allstar.mov,00:00:11;14,00:00:16;04
004,rooks_obama_at_allstar.mov,00:00:16;04,00:00:18;22
005,open NO BOL 021620.mov,00:00:18;22,00:00:35;10
006,rooks_zion_boston_phantom.mov,00:00:35;10,00:00:37;12
007,phantom_selects_mem_vs_nop_013120_broll_pt1.mov,00:00:37;12,00:00:40;22
008,rooks_zion_boston_phantom.mov,00:00:40;22,00:00:42;24
009,rooks_ja_boston_phantom.mov,00:00:42;24,00:00:43;06
010,rooks_200115_rj_extras.mov,00:00:43;06,00:00:45;13
011,phantom_selects_mem_vs_nop_013120_broll_pt1.mov,00:00:45;13,00:00:48;23
012,rooks_zion_boston_phantom.mov,00:00:48;23,00:00:52;01
013,rooks_zion_sitdown_intv.mov,00:00:52;01,00:00:54;28
014,phantom_selects_mem_vs_nop_013120_broll_pt1.mov,00:00:54;28,00:00:59;16
015,phantom_selects_mem_vs_nop_013120_broll_pt1.mov,00:00:59;16,00:01:03;22
016,phantom_selects_mem_vs_nop_013120_broll_pt2.mov,00:01:03;22,00:01:07;12
017,rooks_jamorant_sitdown.mov,00:01:07;12,00:01:08;17
018,Beyond Grit Episode 18 Clean.mxf,00:01:08;17,00:01:11;06
019,Beyond Grit Episode 18 Clean.mxf,00:01:11;06,00:01:14;18
020,Beyond Grit Episode 18 Clean.mxf,00:01:14;18,00:01:15;22
021,Beyond Grit Episode 18 Clean.mxf,00:01:15;22,00:01:17;07
022,Beyond Grit Episode 18 Clean.mxf,00:01:17;07,00:01:20;28
023,rooks_all_star_zion_sitdown.mov,00:01:20;28,00:01:22;01
024,Beyond Grit Episode 18 Clean.mxf,00:01:22;01,00:01:24;07
025,phantom_selects_mem_vs_nop_013120_broll_pt1.mov,00:01:24;07,00:01:26;20
026,Beyond Grit Episode 18 Clean.mxf,00:01:26;20,00:01:27;25
027,Beyond Grit Episode 18 Clean.mxf,00:01:27;25,00:01:28;08
028,Beyond Grit Episode 18 Clean.mxf,00:01:28;08,00:01:29;27
029,Beyond Grit Episode 18 Clean.mxf,00:01:29;27,00:01:30;10
030,Beyond Grit Episode 18 Clean.mxf,00:01:30;10,00:01:31;28
031,Beyond Grit Episode 18 Clean.mxf,00:01:31;28,00:01:32;23
032,Beyond Grit Episode 18 Clean.mxf,00:01:32;23,00:01:33;08
033,Beyond Grit Episode 18 Clean.mxf,00:01:33;08,00:01:35;05
034,rooks_1221_mil_nyk_rj_phantom.mov,00:01:35;05,00:01:36;27
035,Beyond Grit Episode 18 Clean.mxf,00:01:36;27,00:01:37;21
036,rooks_zion_boston_phantom.mov,00:01:37;21,00:01:38;16
037,rooks_1221_mil_nyk_rj_phantom.mov,00:01:38;16,00:01:39;03
038,rooks_rj_phantom_mia.mov,00:01:39;03,00:01:40;24
039,rooks_rj_phantom_mia.mov,00:01:40;24,00:01:42;08
040,rooks_rj_phantom_mia.mov,00:01:42;08,00:01:44;01
041,rooks_rj_phantom_mia.mov,00:01:44;01,00:01:45;19
042,rooks_1221_mil_nyk_rj_phantom.mov,00:01:45;19,00:01:47;06
043,rooks_rjbarrett_sitdown.mov,00:01:47;06,00:01:50;27
044,rooks_rj_phantom_mia.mov,00:01:50;27,00:01:52;18
045,rooks_200115_rj_extras.mov,00:01:52;18,00:01:56;07
046,Beyond Grit Episode 18 Clean.mxf,00:01:56;07,00:01:56;16
047,rooks_rj_phantom_mia.mov,00:01:56;16,00:01:57;24
048,rooks_zion_boston_phantom.mov,00:01:57;24,00:02:00;23
