event_number,clip_name,start,end
001,ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:00;00,00:00:04;13
002,rooks_on_kobe.mov,00:00:04;13,00:00:12;26
003,rooks_on_kobe.mov,00:00:12;26,00:00:24;20
004,rooks_on_kobe.mov,00:00:24;20,00:00:31;07
005,MVI_1750.MP4,00:00:31;07,00:00:37;05
006,HQ_rooks_zion_on_kobe.mp4,00:00:37;05,00:00:42;14
007,rooks_Kobe_Bryant_Obit_v3.jpg,00:00:42;14,00:00:48;08
008,None,00:00:48;08,00:00:48;23
009,END GRAPHIC REV2 0920.mov,00:00:48;23,00:00:54;23
010,rooks_19rooks_new_orleans_scenics_2.mov,00:00:54;23,00:00:57;13
011,New_Orleans_Scenic_1_OTHER_New_Orleans_Scenic_Fantasy_Show_Archive___StLewisJ___04_03_03_00___04_03_59_00.mxf,00:00:57;13,00:01:01;15
012,New_Orleans_Scenic_1_OTHER_New_Orleans_Scenic_Fantasy_Show_Archive___StLewisJ___04_03_03_00___04_03_59_00.mxf,00:01:01;15,00:01:04;15
013,MVI_1692.MP4,00:01:04;15,00:01:07;07
014,rooks_pelicans_maedia_day_BTS_100219.mov,00:01:07;07,00:01:10;11
015,phantom_selects_nop_practice_101619_broll.mov,00:01:10;11,00:01:13;09
016,MVI_1773.MP4,00:01:13;09,00:01:15;03
017,phantom_selects_nop_practice_101619_broll.mov,00:01:15;03,00:01:23;16
018,MVI_1691.MP4,00:01:23;16,00:01:25;13
019,phantom_selects_nop_practice_101619_broll.mov,00:01:25;13,00:01:32;12
020,rooks_zion_first_half_012220.mov,00:01:32;12,00:01:35;20
021,rooks_zion_debut_phantom_pregame_012220.mov,00:01:35;20,00:01:41;09
022,MVI_1702.MP4,00:01:41;09,00:01:51;15
023,MVI_1707.MP4,00:01:51;15,00:01:53;21
024,rooks_zion_debut_phantom_pregame_012220.mov,00:01:53;21,00:01:57;08
025,MVI_1723.MP4,00:01:57;08,00:02:02;15
026,MVI_1709.MP4,00:02:02;15,00:02:04;29
027,rooks_zion_debut_phantom_pregame_012220.mov,00:02:04;29,00:02:14;16
028,MVI_1709.MP4,00:02:14;16,00:02:18;27
029,rooks_NOP_practice_BTS_100619.mov,00:02:18;27,00:02:27;19
030,phantom_selects_nop_practice_101619_broll.mov,00:02:27;19,00:02:34;16
031,rooks_pelicans_practice_SS_pix_card2.mxf,00:02:34;16,00:02:37;18
032,rooks_pelicans_practice_SS_pix_card2.mxf,00:02:37;18,00:02:40;27
033,rooks_NOP_practice_BTS_100619.mov,00:02:40;27,00:02:45;11
034,A008C004_191016_R4Y7.mov,00:02:45;11,00:02:46;29
035,rooks_pelicans_practice_SS_pix_card2.mxf,00:02:46;29,00:02:53;11
036,A008C004_191016_R4Y7.mov,00:02:53;11,00:02:54;07
037,AK_card_part_5.mov,00:02:54;07,00:02:59;21
038,rooks_pelicans_practice_SS_pix_card2.mxf,00:02:59;21,00:03:02;17
039,rooks_pelicans_practice_SS_pix_card2.mxf,00:03:02;17,00:03:04;00
040,dmo_zion_interview_nop_practice_101619.mov,00:03:04;00,00:03:06;00
041,phantom_selects_nop_practice_101619_broll.mov,00:03:06;00,00:03:10;04
042,phantom_selects_nop_practice_101619_broll.mov,00:03:10;04,00:03:13;28
043,dmo_zion_interview_nop_practice_101619.mov,00:03:13;28,00:03:16;19
044,rooks_NOP_practice_BTS_100619.mov,00:03:16;19,00:03:23;04
045,A008C003_191016_R4Y7.mov,00:03:23;04,00:03:24;27
046,rooks_NOP_practice_BTS_100619.mov,00:03:24;27,00:03:27;11
047,AK_card_part_6.mov,00:03:27;11,00:03:28;25
048,rooks_NOP_practice_BTS_100619.mov,00:03:28;25,00:03:36;19
049,A008C004_191016_R4Y7.mov,00:03:36;19,00:03:38;17
050,rooks_pelicans_practice_SS_pix_card2.mxf,00:03:38;17,00:03:44;06
051,Zion_Aircheck_1_PROG_CLEAN_SPORTSCENTER_6P_TO_7P_SREB_16358_1_22_2020_ARCHIVE___StLewisJ___18_06_34_00___18_10_20_00.mxf,00:03:44;06,00:03:46;22
052,Zion_Aircheck_1_PROG_CLEAN_SPORTSCENTER_6P_TO_7P_SREB_16358_1_22_2020_ARCHIVE___StLewisJ___18_06_34_00___18_10_20_00.mxf,00:03:46;22,00:03:49;01
053,Zion_Aircheck_6_STUDIO_12p_SPORTSCENTER_CLEAN_SRAM_24339_01_22_2020_ARCHIVE___StLewisJ___13_05_56_00___13_08_28_00.mxf,00:03:49;01,00:03:51;22
054,Zion_Aircheck_8_STUDIO_FIRST_TAKE_CLEAN_TAMS_5306_01_22_2020_ARCHIVE___StLewisJ___10_00_01_00___10_12_03_00.mxf,00:03:51;22,00:03:56;09
055,MVI_1730.MP4,00:03:56;09,00:04:09;18
056,rooks_zion_debut_phantom_pregame_012220.mov,00:04:09;18,00:04:17;22
057,rooks_zion_debut_phantom_pregame_012220.mov,00:04:17;22,00:04:24;25
058,MVI_1752.MP4,00:04:24;25,00:04:33;01
059,MVI_1752.MP4,00:04:33;01,00:04:42;21
060,rooks_zion_debut_phantom_012220.mov,00:04:42;21,00:04:56;22
061,rooks_SAS_NOP_wireless_melt_012220.mov,00:04:56;22,00:04:59;10
062,rooks_zion_debut_phantom_012220.mov,00:04:59;10,00:05:10;00
063,rooks_SAS_NOP_wireless_melt_012220.mov,00:05:10;00,00:05:12;10
064,rooks_zion_debut_phantom_012220.mov,00:05:12;10,00:05:14;14
065,rooks_zion_debut_phantom_012220.mov,00:05:14;14,00:05:16;01
066,rooks_zion_debut_phantom_012220.mov,00:05:16;01,00:05:18;14
067,rooks_zion_debut_phantom_012220.mov,00:05:18;14,00:05:19;26
068,Zion's parents HYPE react after his 4th 3 pointer.MXF,00:05:19;26,00:05:24;08
069,rooks_zion_debut_phantom_012220.mov,00:05:24;08,00:05:30;24
070,rooks_zion_second_half_012220.mov,00:05:30;24,00:05:33;06
071,rooks_zion_debut_phantom_012220.mov,00:05:33;06,00:05:42;04
072,rooks_zion_exits_debut.mov,00:05:42;04,00:05:45;00
073,rooks_zion_exits_debut.mov,00:05:45;00,00:05:47;02
074,rooks_zion_exits_debut.mov,00:05:47;02,00:05:49;13
075,rooks_spurs_phantom.mov,00:05:49;13,00:05:56;01
076,nop_phantom_012420_pt2.mov,00:05:56;01,00:05:59;13
077,MVI_8924.MP4,00:05:59;13,00:06:02;16
078,MVI_8928.MP4,00:06:02;16,00:06:08;08
079,rooks_zion_debut_phantom_012220.mov,00:06:08;08,00:06:28;13
080,MVI_8933.MP4,00:06:28;13,00:06:32;15
081,MVI_8934.MP4,00:06:32;15,00:06:46;13
082,MVI_8934.MP4,00:06:46;13,00:06:57;23
083,MVI_8931.MP4,00:06:57;23,00:07:00;22
084,MVI_1590.MP4,00:07:00;22,00:07:05;19
085,MVI_1618.MP4,00:07:05;19,00:07:10;19
086,MVI_1650.MP4,00:07:10;19,00:07:26;19
087,uta_vs_mem_phantom_pt2.mov,00:07:26;19,00:07:30;01
088,rooks_ja_best_plays_so_far.mov,00:07:30;01,00:07:36;18
089,rooks_ja_best_plays_so_far.mov,00:07:36;18,00:07:38;10
090,rooks_ja_best_plays_so_far.mov,00:07:38;10,00:07:39;01
091,rooks_ja_best_plays_so_far.mov,00:07:39;01,00:07:42;22
092,rooks_ja_best_plays_so_far.mov,00:07:42;22,00:07:45;16
093,Ja Morant with Bone Collector.mp4,00:07:45;16,00:07:47;02
094,rooks_ja_best_plays_so_far.mov,00:07:47;02,00:07:49;14
095,rooks_ja_best_plays_so_far.mov,00:07:49;14,00:07:50;12
096,rooks_ja_best_plays_so_far.mov,00:07:50;12,00:07:51;00
097,rooks_ja_best_plays_so_far.mov,00:07:51;00,00:07:53;21
098,rooks_ja_best_plays_so_far.mov,00:07:53;21,00:07:54;18
099,rooks_ja_best_plays_so_far.mov,00:07:54;18,00:07:56;00
100,rooks_ja_best_plays_so_far.mov,00:07:56;00,00:07:57;16
101,rooks_ja_best_plays_so_far.mov,00:07:57;16,00:08:00;12
102,Ja Morant with Bone Collector.mp4,00:08:00;12,00:08:01;08
103,rooks_ja_dunks.mov,00:08:01;08,00:08:03;06
104,rooks_ja_dunks.mov,00:08:03;06,00:08:04;10
105,rooks_ja_dunks.mov,00:08:04;10,00:08:05;16
106,rooks_ja_dunks.mov,00:08:05;16,00:08:07;07
107,rooks_ja_dribbles.mov,00:08:07;07,00:08:08;21
108,rooks_191113_mem_cha_ja.mov,00:08:08;21,00:08:10;22
109,Ja Morant with Bone Collector.mp4,00:08:10;22,00:08:12;10
110,rooks_ja_best_plays_so_far.mov,00:08:12;10,00:08:14;05
111,rooks_ja_best_plays_so_far.mov,00:08:14;05,00:08:14;13
112,rooks_ja_best_plays_so_far.mov,00:08:14;13,00:08:16;16
113,rooks_ja_best_plays_so_far.mov,00:08:16;16,00:08:18;08
114,rooks_20rooks_ja_vs_lac.mov,00:08:18;08,00:08:21;02
115,rooks_191211_mem_pho_ja.mov,00:08:21;02,00:08:25;09
116,rooks_191211_mem_pho_ja.mov,00:08:25;09,00:08:26;19
117,rooks_191211_mem_pho_ja.mov,00:08:26;19,00:08:27;21
118,Ja Morant with Bone Collector.mp4,00:08:27;21,00:08:29;13
119,rooks_ja_best_plays_so_far.mov,00:08:29;13,00:08:31;01
120,rooks_ja_best_plays_so_far.mov,00:08:31;01,00:08:33;15
121,rooks_ja_best_plays_so_far.mov,00:08:33;15,00:08:36;18
122,Ja Morant with Bone Collector.mp4,00:08:36;18,00:08:38;13
123,rooks_191127_mem_lac.mov,00:08:38;13,00:08:42;12
124,rooks_ja_best_plays_so_far.mov,00:08:42;12,00:08:45;11
125,rooks_ja_best_plays_so_far.mov,00:08:45;11,00:08:47;03
126,MVI_8891.MP4,00:08:47;03,00:08:57;27
127,New_Orleans_Scenics_1__HDD000135151_HD_Archive___GomezI___11_51_50_00___11_53_31_00.mxf,00:08:57;27,00:09:00;23
128,rooks_zion_livecalls_012420.mov,00:09:00;23,00:09:03;17
129,MVI_8961.MP4,00:09:03;17,00:09:08;23
130,MVI_1819.MP4,00:09:08;23,00:09:12;27
131,nop_phantom_broll_012520_pt1.mov,00:09:12;27,00:09:23;12
132,MVI_1803.MP4,00:09:23;12,00:09:28;28
133,MVI_8959.MP4,00:09:28;28,00:09:32;25
134,nop_phantom_broll_012520_pt1.mov,00:09:32;25,00:09:37;05
135,MVI_8960.MP4,00:09:37;05,00:09:39;16
136,nop_phantom_012420_pt2.mov,00:09:39;16,00:09:45;13
137,nop_phantom_012420_pt2.mov,00:09:45;13,00:09:51;27
138,MVI_8978.MP4,00:09:51;27,00:09:55;12
139,nop_phantom_broll_012520_pt3.mov,00:09:55;12,00:10:03;12
140,MVI_8955.MP4,00:10:03;12,00:10:05;29
141,rooks_zion_highlights_012420.mov,00:10:05;29,00:10:07;03
142,rooks_zion_highlights_012420.mov,00:10:07;03,00:10:08;22
143,rooks_zion_highlights_012420.mov,00:10:08;22,00:10:11;17
144,MVI_8973.MP4,00:10:11;17,00:10:14;06
145,rooks_phantom_selects_den_vs_nop_012420_broll_pt2.mov,00:10:14;06,00:10:26;03
146,MVI_8984.MP4,00:10:26;03,00:10:30;03
147,rooks_phantom_selects_den_vs_nop_012420_broll_pt2.mov,00:10:30;03,00:10:35;16
148,NBA_ROOKS_Endpage_v08_LONGER.mov,00:10:35;16,00:10:42;17
149,EPISODE 4 SPLIT CLEAN.mov,00:10:42;17,00:10:46;21
